Name,Financial Status,Paid at,Currency,Subtotal,Shipping,Taxes,Total,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Cancelled at,Payment Method,Refunded Amount,Outstanding Balance,Id,Tags,Source,Lineitem discount
#1644,,,,,,,,,,2026-03-11 22:14:32 -0400,2,21.66,33.32,AP_BH04,TRUE,TRUE,,,,,,,,,,,,0.00
#1644,,,,,,,,,,2026-03-11 22:14:32 -0400,5,21.66,33.32,AP_EP04,TRUE,TRUE,,,,,,,,,,,,0.00
#1643,paid,2026-03-11 10:54:43 -0400,USD,79.80,0.00,0.00,79.80,0.00,Economy,2026-03-11 10:54:40 -0400,2,39.90,57.00,AB_18,TRUE,TRUE,Avon,'46123,IN,US,,Shopify Payments,0.00,0.00,7198248763702,,web,0.00
#1642,paid,2026-03-11 04:14:47 -0400,USD,26.50,6.50,0.00,33.00,4.67,Economy,2026-03-11 04:14:45 -0400,1,10.39,15.99,GPTC15,TRUE,TRUE,San Jose,'95121,CA,US,,Shopify Payments,0.00,0.00,7197742006582,,web,0.00
#1642,,,,,,,,,,2026-03-11 04:14:45 -0400,1,10.39,15.99,GP_W15,TRUE,TRUE,,,,,,,,,,,,0.00
#1642,,,,,,,,,,2026-03-11 04:14:45 -0400,1,10.39,15.99,GP_B15,TRUE,TRUE,,,,,,,,,,,,0.00
#1641,paid,2026-03-10 21:02:19 -0400,USD,94.32,0.00,0.00,94.32,0.00,Economy,2026-03-10 21:02:16 -0400,1,10.39,15.99,GP_B15,TRUE,TRUE,Youngstown,'44512,OH,US,,Shopify Payments,0.00,0.00,7197177086262,,web,0.00
#1641,,,,,,,,,,2026-03-10 21:02:16 -0400,1,83.93,159.92,CB_AP_FULL02,TRUE,TRUE,,,,,,,,,,,,0.00
#1640,paid,2026-03-10 17:47:33 -0400,USD,71.35,6.50,0.00,77.85,12.58,Economy,2026-03-10 17:47:32 -0400,1,83.93,159.92,CB_AP_FULL02,TRUE,TRUE,Irving,'75063,TX,US,,Shopify Payments,0.00,0.00,7196868935990,,web,0.00
#1639,paid,2026-03-10 16:24:43 -0400,USD,35.97,6.50,0.00,42.47,0.00,Economy,2026-03-10 16:24:39 -0400,1,11.99,19.99,AP_MW02,TRUE,TRUE,o fallon,'63366,MO,US,,Shopify Payments,0.00,0.00,7196740944182,,web,0.00
#1639,,,,,,,,,,2026-03-10 16:24:39 -0400,1,11.99,19.99,AP_SN02,TRUE,TRUE,,,,,,,,,,,,0.00
#1639,,,,,,,,,,2026-03-10 16:24:39 -0400,1,11.99,19.99,AP_EP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1638,paid,2026-03-10 15:14:21 -0400,USD,44.96,6.50,0.00,51.46,0.00,Economy,2026-03-10 15:14:21 -0400,1,17.99,29.99,TO_6LSBF,TRUE,TRUE,Mount Pleasant,'29466,SC,US,,Shopify Payments,0.00,0.00,7196624814390,,web,0.00
#1638,,,,,,,,,,2026-03-10 15:14:21 -0400,3,8.99,11.99,TO_MSBM,TRUE,TRUE,,,,,,,,,,,,0.00
#1637,paid,2026-03-10 09:33:57 -0400,USD,18.42,6.50,0.00,24.92,3.24,Economy,2026-03-10 09:33:54 -0400,1,21.66,33.32,AP_SN04,TRUE,TRUE,Garland,'75040,TX,US,,Shopify Payments,0.00,0.00,7195964932406,,web,0.00
#1636,paid,2026-03-10 09:10:50 -0400,USD,75.37,0.00,0.00,75.37,0.00,Economy,2026-03-10 09:10:50 -0400,1,10.39,15.99,GP_B15,TRUE,TRUE,Mishawaka,'46544,IN,US,,Shopify Payments,0.00,0.00,7195930198326,,web,0.00
#1636,,,,,,,,,,2026-03-10 09:10:50 -0400,1,21.66,33.32,AP_FP04,TRUE,TRUE,,,,,,,,,,,,0.00
#1636,,,,,,,,,,2026-03-10 09:10:50 -0400,1,21.66,33.32,AP_AF04,TRUE,TRUE,,,,,,,,,,,,0.00
#1636,,,,,,,,,,2026-03-10 09:10:50 -0400,1,21.66,33.32,AP_SN04,TRUE,TRUE,,,,,,,,,,,,0.00
#1635,paid,2026-03-10 02:33:38 -0400,USD,20.39,6.50,0.00,26.89,3.59,Economy,2026-03-10 02:33:38 -0400,1,11.99,19.99,AP_SN02,TRUE,TRUE,Nottingham,'21236,MD,US,,Shopify Payments,0.00,0.00,7195451457846,,web,0.00
#1635,,,,,,,,,,2026-03-10 02:33:38 -0400,1,11.99,19.99,AP_EP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1634,paid,2026-03-09 23:16:04 -0400,USD,20.78,6.50,0.00,27.28,0.00,Economy,2026-03-09 23:16:03 -0400,2,10.39,15.99,GP_B15,TRUE,TRUE,Dayton,'45424,OH,US,,Shopify Payments,0.00,0.00,7195188560182,,web,0.00
#1633,paid,2026-03-09 22:11:51 -0400,USD,78.08,0.00,0.00,78.08,13.77,Economy,2026-03-09 22:11:48 -0400,1,39.90,57.00,AB_18,TRUE,TRUE,Ellicott City,'21043,MD,US,,Shopify Payments,0.00,0.00,7195088716086,,web,0.00
#1633,,,,,,,,,,2026-03-09 22:11:48 -0400,2,10.39,15.99,GP_B15,TRUE,TRUE,,,,,,,,,,,,0.00
#1633,,,,,,,,,,2026-03-09 22:11:48 -0400,2,10.39,15.99,GP_W15,TRUE,TRUE,,,,,,,,,,,,0.00
#1633,,,,,,,,,,2026-03-09 22:11:48 -0400,1,10.39,15.99,GP_MTC15,TRUE,TRUE,,,,,,,,,,,,0.00
#1632,paid,2026-03-09 16:46:06 -0400,USD,96.04,0.00,0.00,96.04,16.94,Economy,2026-03-09 16:46:03 -0400,1,10.39,15.99,GP_MTC15,TRUE,TRUE,Brockport,'14420,NY,US,,Shopify Payments,0.00,0.00,7194586972470,,web,0.00
#1632,,,,,,,,,,2026-03-09 16:46:03 -0400,1,8.99,11.99,TO_MSBM,TRUE,TRUE,,,,,,,,,,,,0.00
#1632,,,,,,,,,,2026-03-09 16:46:03 -0400,1,21.66,33.32,AP_BP04,TRUE,TRUE,,,,,,,,,,,,0.00
